,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives,epochs_neginf,epochs_pu
214,0.7853,0.4025,0.9179,0.2578,190,1873,17,547,RGCN,Cora,0.1,81,81,101,141
215,0.8173,0.5782,0.8204,0.4464,329,1818,72,408,RGCN,Cora,0.1,81,81,101,151
216,0.8009,0.4754,0.9115,0.3216,237,1867,23,500,RGCN,Cora,0.1,81,81,101,161
217,0.7998,0.4913,0.8552,0.3446,254,1847,43,483,RGCN,Cora,0.1,81,81,101,171
218,0.799,0.4844,0.8641,0.3365,248,1851,39,489,RGCN,Cora,0.1,81,81,101,181
219,0.7823,0.3915,0.9064,0.2497,184,1871,19,553,RGCN,Cora,0.1,81,81,101,191
220,0.531,0.3901,0.3071,0.5346,394,1001,889,343,RGCN,Cora,0.1,81,81,111,1
221,0.7446,0.6008,0.535,0.6852,505,1451,439,232,RGCN,Cora,0.1,81,81,111,11
222,0.7716,0.5726,0.6027,0.5455,402,1625,265,335,RGCN,Cora,0.1,81,81,111,21
223,0.7735,0.4103,0.761,0.2809,207,1825,65,530,RGCN,Cora,0.1,81,81,111,31
224,0.7819,0.5784,0.6318,0.5332,393,1661,229,344,RGCN,Cora,0.1,81,81,111,41
225,0.8169,0.5878,0.7977,0.4654,343,1803,87,394,RGCN,Cora,0.1,81,81,111,51
226,0.8264,0.6231,0.797,0.5115,377,1794,96,360,RGCN,Cora,0.1,81,81,111,61
227,0.8283,0.6528,0.7544,0.5753,424,1752,138,313,RGCN,Cora,0.1,81,81,111,71
228,0.8154,0.6041,0.7582,0.502,370,1772,118,367,RGCN,Cora,0.1,81,81,111,81
229,0.8272,0.6025,0.8494,0.4668,344,1829,61,393,RGCN,Cora,0.1,81,81,111,91
230,0.7819,0.4218,0.8228,0.2836,209,1845,45,528,RGCN,Cora,0.1,81,81,111,101
231,0.8085,0.5168,0.8849,0.365,269,1855,35,468,RGCN,Cora,0.1,81,81,111,111
232,0.8375,0.6366,0.8539,0.5075,374,1826,64,363,RGCN,Cora,0.1,81,81,111,121
233,0.8085,0.5373,0.8343,0.3962,292,1832,58,445,RGCN,Cora,0.1,81,81,111,131
234,0.7876,0.4486,0.8255,0.308,227,1842,48,510,RGCN,Cora,0.1,81,81,111,141
235,0.7895,0.4562,0.8286,0.3148,232,1842,48,505,RGCN,Cora,0.1,81,81,111,151
236,0.7682,0.3211,0.9,0.1954,144,1874,16,593,RGCN,Cora,0.1,81,81,111,161
